//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-26-2025
//--  Time: 5:55
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 101890.0 Ohms 
//--    Temperature2: 30.0(C), 	Resistance 2: 2268.0 Ohms 
//--    Temperature3: 99.0(C), 	Resistance 3: 156.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	246.17	2462 	0.156
2	204.99	2050 	0.313
3	181.94	1819 	0.469
4	165.80	1658 	0.625
5	153.27	1533 	0.781
6	142.94	1429 	0.938
7	134.06	1341 	1.094
8	126.22	1262 	1.250
9	119.14	1191 	1.406
10	112.62	1126 	1.563
11	106.54	1065 	1.719
12	100.80	1008 	1.875
13	95.31	953 	2.031
14	90.01	900 	2.188
15	84.86	849 	2.344
16	79.79	798 	2.500
17	74.78	748 	2.656
18	69.76	698 	2.813
19	64.71	647 	2.969
20	59.57	596 	3.125
21	54.29	543 	3.281
22	48.81	488 	3.438
23	43.05	430 	3.594
24	36.89	369 	3.750
25	30.20	302 	3.906
26	22.74	227 	4.063
27	14.15	141 	4.219
28	3.77	38 	4.375
29	-9.87	-99 	4.531
30	-31.26	-313 	4.688
31	70.00	700 	4.844
